Day,Location,Event,,Train Route,Train type,Accomodation,,FIFA World cup dates
Fri,Tokyo,Watts leave Glasgow 08:35,,,,,,
,Amsterdam,Pollards Leave AMS,,,,,,World Cup QFs
Sat,Tokyo,"Pollards Arrive Tokyo 10:45
Watts Arrive Tokyo 20:50",,,,Urban Stay Shinjuku,,World Cup QFs
Sun,Tokyo,teamlabs Planets Tokyo 13:30,,,,,,
Mon,Tokyo,,,,,,,
Tues,Tokyo,,,,,,,World Cup SF
Weds,Tokyo,,,,,,,World Cup SF
Thurs,Hakone,,,Tokyo > Hakone,Romance Car,Villa-Liberte Hakone,,
Fri,Kyoto,,,"1) Hakone > Odawara
2) Odawara > Kyoto","1) Romance Car
2) Shinkansen",Tsumugi - Hachijo-Minamotocho,,
Sat,Kyoto,Hozugawa River boat + Arashiyama Bamboo forest,,,,,,World Cup 3PPO
Sun,Hiroshima,,,Kyoto > Hiroshima,Shinkansen,fav HIROSHIMA HEIWAODORI,,World Cup Final
Mon,Hiroshima,,,,,,,
Tues,Osaka,,,Hiroshima > Osaka,Shinkansen,Maguro House,,
Weds,Osaka,,,,,,,
Thurs,Osaka,,,,,,,
Fri,Osaka,,,,,,,
Sat,Osaka,Universal Studios Japan,,,,,,
Sun,Osaka,,,,,,,
Mon,Osaka,,,,,OMO Kansai Hotel,,
Tues,Osaka,"Watts Leave Osaka 09:05
Pollards Leave Osaka - 12:00",,,,n/a,,
